subroutine,Instruction,Call address,Destination,Resolved name
-,call,0x426288,0x6f613369,
-,call,0x426b40,0x732f7149,
-,call,0x426c10,0x732f7149,
-,call,0x426c78,0x732f7149,
-,call,0x427075,0x6e3a14d0,
-,call,0x429279,0x770a00b0,
-,call,0x4292bb,0x7709e8b0,
-,call,0x4293d6,0x6f64ccc9,
-,call,0x4293e8,0x6f64ccc9,
-,call,0x4293f3,0x6f64ccc9,
-,call,0x429469,0x770a00b0,
-,call,0x4294ab,0x7709e8b0,
-,call,0x429579,0x770a00b0,
-,call,0x4295bb,0x7709e8b0,
-,call,0x42970d,0x6f64ccc9,
-,call,0x429728,0x6f64ccc9,
-,call,0x429753,0x6f64ccc9,
-,call,0x4297db,0x6f64ccc9,
-,call,0x4297e8,0x6f64ccc9,
-,call,0x429c4a,0x6f64ccc9,
-,call,0x429cc0,0x6f64ccc9,
-,call,0x429f4d,0x732f72b6,
-,call,0x42abec,0x732f5ebb,
-,call,0x42ac19,0x732f5ebb,
-,call,0x42ac3d,0x732f5ebb,
-,call,0x42ac4a,0x733f2050,
-,call,0x42aeee,0x732f72b6,
-,call,0x42af00,0x732f72b6,
-,call,0x42af12,0x732f72b6,
-,call,0x42af27,0x732f72b6,
-,call,0x42af3c,0x732f72b6,
-,call,0x42af50,0x763a0d00,
-,call,0x42af57,0x7639f7f0,
-,call,0x42af6b,0x763a30f0,
-,call,0x42af8b,0x763a1bb0,
-,call,0x42afe2,0x732f7149,
-,call,0x42b057,0x732f5e81,
-,call,0x42b068,0x732f5e81,
-,call,0x42b076,0x732f5e81,
-,call,0x42b084,0x732f5e81,
-,call,0x42b092,0x732f5e81,
-,call,0x42b0e0,0x732f5ebb,
-,call,0x42b0ee,0x732f5ebb,
-,call,0x42b0fc,0x732f5ebb,
-,call,0x42b10a,0x732f5ebb,
-,call,0x42b11a,0x732f5ebb,
-,call,0x42b18f,0x732f72b6,
-,call,0x42b9a9,0x770a00b0,
-,call,0x42b9eb,0x7709e8b0,
-,call,0x42bb39,0x770a00b0,
-,call,0x42bb7b,0x7709e8b0,
-,call,0x42bc59,0x732f72b6,
-,call,0x42cf16,0x6f613369,
-,call,0x42cf87,0x6f613369,
-,call,0x42de08,0x73306059,
-,call,0x42de40,0x73308b0f,
-,call,0x42e0c3,0x73306075,
-,call,0x42e386,0x6f612e73,
-,call,0x42e5c9,0x770a00b0,
-,call,0x42e60b,0x7709e8b0,
-,call,0x42e666,0x6f64ccc9,
-,call,0x42e678,0x6f64ccc9,
-,call,0x42e683,0x6f64ccc9,
