patch_addr,bytes_at_local
0x499e5a,90E85BC05C5D
0x49a080,90E8C3D05C5D
0x49a08a,90E82BBE5C5D
0x49a0a4,90E89FD05C5D
0x49a0c0,90E883D05C5D
0x49a425,90E89E28585D
0x49a465,90E85E28585D
0x49a697,90E8ACCA5C5D
0x49a6a1,90E814B85C5D
0x49a7b1,90E892C95C5D
0x49a7d0,90E873C95C5D
0x49a91c,90E827C85C5D
0x49a926,90E88FB55C5D
0x49aa03,90E840C75C5D
0x49aa22,90E821C75C5D
0x49b386,90E8BDBD5C5D
0x49b3d5,90E8EE18585D
0x49b4a8,90E808BE5C5D
0x49b6ad,90E81616585D
0x49b6bd,90E80616585D
0x49b6cc,90E8F715585D
0x49b732,90E89115585D
0x49b746,90E87D15585D
0x49b755,90E86E15585D
0x49b8bf,90E80414585D
0x49b8dc,90E867B85C5D
0x49b965,90E850A55C5D
0x49b973,90E85013585D
0x49b984,90E83F13585D
0x49b9ba,90E80913585D
0x49b9c9,90E8FA12585D
0x49ba6f,90E8D4B65C5D
0x49baa4,90E811A45C5D
0x49babf,90E80412585D
0x49bad8,90E86BB65C5D
0x49baee,90E855B65C5D
0x49bb81,90E834A35C5D
0x49bb96,90E81FA35C5D
0x49bba4,90E81F11585D
0x49bbb5,90E80E11585D
0x49bc10,90E8B310585D
0x49bc1d,90E8A610585D
0x49bcbf,90E8F6A15C5D
0x49bd1e,90E8A50F585D
0x49bd2e,90E8950F585D
0x49bd3f,90E8840F585D
0x49be1c,90E8A70E585D
0x49be6b,90E8580E585D
0x49be7a,90E8490E585D
0x49bef6,90E8CD0D585D
0x49bf0c,90E8B70D585D
0x49bf17,90E8AC0D585D
0x49c0c2,90E8010C585D
0x49c395,90E82E09585D
0x49c3ab,90E81809585D
0x49c3b6,90E80D09585D
0x49cbbf,90E80401585D
0x49cdda,90E8D532555D
0x49d0e1,90E8CFA15C5D
0x49d26b,90E8025C545D
0x49d29b,90E828FA575D
0x49d2b3,90E810FA575D
0x49f589,90E85275545D
0x49f984,90E8E97B545D
0x49f9f7,90E8CCD2575D
0x49fe84,90E8E976545D
0x4a04a5,90E8CF5E535D
0x4a061c,90E8585D535D
0x4a0d41,90E882BF575D
0x4a0ffd,90E87065545D
0x4a1078,90E84BBC575D
0x4a108d,90E82D39585D
