Module,Address,Function
msvcr90.dll,6742A502,_futime64
msvcr90.dll,6742A6BD,_utime64
msvcr90.dll,6742A764,_wasctime_s
msvcr90.dll,6742A91B,_wasctime
msvcr90.dll,6742A96C,_wctime32_s
msvcr90.dll,6742A9E4,_wctime32
msvcr90.dll,6742AA45,_wctime64_s
msvcr90.dll,6742AAD7,_wctime64
msvcr90.dll,6742AB3F,_wstrdate_s
msvcr90.dll,6742AC02,_wstrdate
msvcr90.dll,6742AC23,_wstrtime_s
msvcr90.dll,6742ACDD,_wstrtime
msvcr90.dll,6742ACFE,_wutime32
msvcr90.dll,6742AD84,_wutime64
msvcr90.dll,6742AE20,memcpy
msvcr90.dll,6742B190,memchr
msvcr90.dll,6742B250,_memccpy
msvcr90.dll,6742B310,memmove
msvcr90.dll,6742B680,memset
msvcr90.dll,6742B700,strcpy
msvcr90.dll,6742B710,strcat
msvcr90.dll,6742B810,strchr
msvcr90.dll,6742B8E0,strcmp
msvcr90.dll,6742B970,strcspn
msvcr90.dll,6742B9C0,strlen
msvcr90.dll,6742BA50,strncat
msvcr90.dll,6742BB90,strncpy
msvcr90.dll,6742BD30,_strnset
msvcr90.dll,6742BD60,strpbrk
msvcr90.dll,6742BDB0,strrchr
msvcr90.dll,6742BDF0,_strrev
msvcr90.dll,6742BE30,_strset
msvcr90.dll,6742BE60,strspn
msvcr90.dll,6742BEB0,strstr
msvcr90.dll,6742C480,_isalpha_l
msvcr90.dll,6742C4DB,isalpha
msvcr90.dll,6742C510,_isupper_l
msvcr90.dll,6742C566,isupper
msvcr90.dll,6742C599,_islower_l
msvcr90.dll,6742C5EF,islower
msvcr90.dll,6742C622,_isdigit_l
msvcr90.dll,6742C678,isdigit
msvcr90.dll,6742C6AB,_isxdigit_l
msvcr90.dll,6742C706,isxdigit
msvcr90.dll,6742C73B,_isspace_l
msvcr90.dll,6742C791,isspace
msvcr90.dll,6742C7C4,_ispunct_l
msvcr90.dll,6742C81A,ispunct
msvcr90.dll,6742C84D,_isalnum_l
msvcr90.dll,6742C8A8,isalnum
msvcr90.dll,6742C8DD,_isprint_l
msvcr90.dll,6742C938,isprint
msvcr90.dll,6742C96D,_isgraph_l
msvcr90.dll,6742C9C8,isgraph
msvcr90.dll,6742C9FD,_iscntrl_l
msvcr90.dll,6742CA53,iscntrl
msvcr90.dll,6742CA86,__isascii
msvcr90.dll,6742CA9D,__toascii
msvcr90.dll,6742CAAF,__iscsymf
msvcr90.dll,6742CAD3,__iscsym
msvcr90.dll,6742CAF9,_mbstrlen_l
msvcr90.dll,6742CBA4,_mbstrlen
msvcr90.dll,6742CBCB,_mbstrnlen_l
msvcr90.dll,6742CCD3,_mbstrnlen
msvcr90.dll,6742CCEF,_isleadbyte_l
msvcr90.dll,6742CD2C,isleadbyte
msvcr90.dll,6742CD44,_iswalpha_l
msvcr90.dll,6742CD63,iswalpha
msvcr90.dll,6742CD7E,_iswupper_l
msvcr90.dll,6742CD9A,iswupper
msvcr90.dll,6742CDB2,_iswlower_l
msvcr90.dll,6742CDCE,iswlower
msvcr90.dll,6742CDE6,_iswdigit_l
msvcr90.dll,6742CE02,iswdigit
msvcr90.dll,6742CE1A,_iswxdigit_l
msvcr90.dll,6742CE39,iswxdigit
msvcr90.dll,6742CE54,_iswspace_l
msvcr90.dll,6742CE70,iswspace
